queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Aphididae;NA;Myzus persicae;"c(""NCBITaxon:13164"", ""NCBI:13164"", ""GBIF:2076179"", ""https://tree.opentreeoflife.org/opentree/ottol@785522"")";RO:0002470;eats;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Aphididae;NA;Aulacorthum solani;"c(""NCBITaxon:202456"", ""NCBI:202456"", ""GBIF:2076745"", ""https://tree.opentreeoflife.org/opentree/ottol@935701"")";RO:0002470;eats;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Aphididae;NA;Rhopalosiphum padi;"c(""NCBITaxon:40932"", ""NCBI:40932"", ""GBIF:2069580"", ""https://tree.opentreeoflife.org/opentree/ottol@954228"")";RO:0002470;eats;NCBI:4479;Poaceae;NA;gratin:hedde_misc1
Aphididae;NA;Acyrthosiphon pisum;"c(""NCBITaxon:7029"", ""NCBI:7029"", ""https://tree.opentreeoflife.org/opentree/ottol@814484"", ""GBIF:2077503"")";RO:0002444;parasite of;NCBI:3803;Fabaceae;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:6388;Enchytraeidae;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:6392;Lumbricidae;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:30001;Collembola;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:7147;Diptera;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:6893;Araneae;NA;gratin:hedde_misc1
Theridiidae;NA;Theridiidae;"c(""NCBITaxon:34643"", ""NCBI:34643"", ""GBIF:9583"", ""https://tree.opentreeoflife.org/opentree/ottol@917915"")";RO:0002470;eats;NCBI:7088;Lepidoptera;NA;gratin:hedde_misc1
Braconidae;NA;Aphidius ervi;"c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")";RO:0002444;parasite of;NCBI:7029;Acyrthosiphon pisum;NA;gratin:hedde_misc1
Braconidae;NA;Aphidius ervi;"c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")";RO:0002444;parasite of;NCBI:202456;Aulacorthum solani;NA;gratin:hedde_misc1
Braconidae;NA;Aphidius ervi;"c(""NCBITaxon:37627"", ""NCBI:37627"", ""https://tree.opentreeoflife.org/opentree/ottol@472057"", ""GBIF:1269085"")";RO:0002444;parasite of;NCBI:13164;Myzus persicae;NA;gratin:hedde_misc1
Staphylinidae;NA;Tachyporus hypnorum;"c(""NCBITaxon:346861"", ""NCBI:346861"", ""https://tree.opentreeoflife.org/opentree/ottol@641965"", ""GBIF:4438583"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:27482;Aphididae;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:66551;Oribatida;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:6893;Araneae;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:66547;Endeostigmata;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:3041;Chlorophyta;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:6951;Astigmata;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:3208;Bryophyta;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:58023;Tracheophyta;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:7147;Diptera;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:7088;Lepidoptera;NA;gratin:hedde_misc1
Forficulidae;NA;Forficula;"c(""NCBITaxon:13067"", ""NCBI:13067"", ""https://tree.opentreeoflife.org/opentree/ottol@661722"", ""GBIF:1419844"")";RO:0002470;eats;NCBI:34634;Mesostigmata;NA;gratin:hedde_misc1
