"","db","query","kingdom","phylum","class","order","family","genus","species"
"1","itis","Abia nitens",NA,NA,NA,NA,NA,NA,NA
"2","ncbi","Abia nitens","Metazoa","Arthropoda","Insecta","Hymenoptera","Cimbicidae","Abia","Abia nitens"
"3","itis","Acanthoscelides","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides",NA
"4","ncbi","Acanthoscelides","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides",NA
"5","itis","Acrididae","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae",NA,NA
"6","ncbi","Acrididae","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae",NA,NA
"7","itis","Aglaostigma aucupariae",NA,NA,NA,NA,NA,NA,NA
"8","ncbi","Aglaostigma aucupariae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Aglaostigma","Aglaostigma aucupariae"
"9","itis","Agriotes","Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes",NA
"10","ncbi","Agriotes","Metazoa","Arthropoda","Insecta","Coleoptera","Elateridae","Agriotes",NA
"11","itis","Allograpta","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Allograpta",NA
"12","ncbi","Allograpta","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Allograpta",NA
"13","itis","Altica","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica",NA
"14","ncbi","Altica","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Altica",NA
"15","itis","Alticini","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"16","ncbi","Alticini","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"17","itis","Alysiinae","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"18","ncbi","Alysiinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"19","itis","Alysiini",NA,NA,NA,NA,NA,NA,NA
"20","ncbi","Alysiini",NA,NA,NA,NA,NA,NA,NA
"21","itis","Amara aenea","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara aenea"
"22","ncbi","Amara aenea","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Amara","Amara aenea"
"23","itis","Ametastegia glabrata","Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Ametastegia","Ametastegia glabrata"
"24","ncbi","Ametastegia glabrata","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Ametastegia","Ametastegia glabrata"
"25","itis","Anacharitinae",NA,NA,NA,NA,NA,NA,NA
"26","ncbi","Anacharitinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Figitidae",NA,NA
"27","itis","Ancistrocerus",NA,NA,NA,NA,NA,NA,NA
"28","ncbi","Ancistrocerus","Metazoa","Arthropoda","Insecta","Hymenoptera","Vespidae","Ancistrocerus",NA
"29","itis","Andrena","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae","Andrena",NA
"30","ncbi","Andrena",NA,NA,NA,NA,NA,NA,NA
"31","itis","Andrenidae","Animalia","Arthropoda","Insecta","Hymenoptera","Andrenidae",NA,NA
"32","ncbi","Andrenidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Andrenidae",NA,NA
"33","itis","Anogcodes",NA,NA,NA,NA,NA,NA,NA
"34","ncbi","Anogcodes","Metazoa","Arthropoda","Insecta","Coleoptera","Oedemeridae","Anogcodes",NA
"35","itis","Anthaxia","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia",NA
"36","ncbi","Anthaxia","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia",NA
"37","itis","Anthaxia cyanescens",NA,NA,NA,NA,NA,NA,NA
"38","ncbi","Anthaxia cyanescens",NA,NA,NA,NA,NA,NA,NA
"39","itis","Anthaxia hungarica",NA,NA,NA,NA,NA,NA,NA
"40","ncbi","Anthaxia hungarica","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia hungarica"
"41","itis","Anthaxia manca",NA,NA,NA,NA,NA,NA,NA
"42","ncbi","Anthaxia manca","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae","Anthaxia","Anthaxia manca"
"43","itis","Anthaxia nigritula",NA,NA,NA,NA,NA,NA,NA
"44","ncbi","Anthaxia nigritula",NA,NA,NA,NA,NA,NA,NA
"45","itis","Anthomalachius spinosus",NA,NA,NA,NA,NA,NA,NA
"46","ncbi","Anthomalachius spinosus",NA,NA,NA,NA,NA,NA,NA
"47","itis","Anthophila",NA,NA,NA,NA,NA,NA,NA
"48","ncbi","Anthophila",NA,NA,NA,NA,NA,NA,NA
"49","itis","Anthrenus","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","Anthrenus",NA
"50","ncbi","Anthrenus","Metazoa","Arthropoda","Insecta","Coleoptera","Dermestidae","Anthrenus",NA
"51","itis","Aphanogmus","Animalia","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","Aphanogmus",NA
"52","ncbi","Aphanogmus","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae","Aphanogmus",NA
"53","itis","Aphelinus","Animalia","Arthropoda","Insecta","Hymenoptera","Aphelinidae","Aphelinus",NA
"54","ncbi","Aphelinus","Metazoa","Arthropoda","Insecta","Hymenoptera","Aphelinidae","Aphelinus",NA
"55","itis","Aphididae","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA
"56","ncbi","Aphididae","Metazoa","Arthropoda","Insecta","Hemiptera","Aphididae",NA,NA
"57","itis","Aphidiinae","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"58","ncbi","Aphidiinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"59","itis","Apion","Animalia","Arthropoda","Insecta","Coleoptera","Apionidae","Apion",NA
"60","ncbi","Apion","Metazoa","Arthropoda","Insecta","Coleoptera","Apionidae","Apion",NA
"61","itis","Apis mellifera","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera"
"62","ncbi","Apis mellifera","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Apis","Apis mellifera"
"63","itis","Apocrita","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"64","ncbi","Apocrita","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"65","itis","Apoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"66","ncbi","Apoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"67","itis","Araneae","Animalia","Arthropoda","Euchelicerata","Araneae",NA,NA,NA
"68","ncbi","Araneae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"69","itis","Araneidae","Animalia","Arthropoda","Euchelicerata","Araneae","Araneidae",NA,NA
"70","ncbi","Araneidae","Metazoa","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA
"71","itis","Araneomorphae",NA,NA,NA,NA,NA,NA,NA
"72","ncbi","Araneomorphae","Metazoa","Arthropoda","Arachnida","Araneae",NA,NA,NA
"73","itis","Arenocoris waltlii","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Arenocoris","Arenocoris waltlii"
"74","ncbi","Arenocoris waltlii","Metazoa","Arthropoda","Insecta","Hemiptera","Coreidae","Arenocoris","Arenocoris waltlii"
"75","itis","Asaphes",NA,NA,NA,NA,NA,NA,NA
"76","ncbi","Asaphes","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Asaphes",NA
"77","itis","Athalia",NA,NA,NA,NA,NA,NA,NA
"78","ncbi","Athalia","Metazoa","Arthropoda","Insecta","Hymenoptera","Athaliidae","Athalia",NA
"79","itis","Athalia bicolor",NA,NA,NA,NA,NA,NA,NA
"80","ncbi","Athalia bicolor","Metazoa","Arthropoda","Insecta","Hymenoptera","Athaliidae","Athalia","Athalia bicolor"
"81","itis","Atomaria","Animalia","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria",NA
"82","ncbi","Atomaria","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae","Atomaria",NA
"83","itis","Aulacobaris",NA,NA,NA,NA,NA,NA,NA
"84","ncbi","Aulacobaris","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Aulacobaris",NA
"85","itis","Auplopus carbonarius",NA,NA,NA,NA,NA,NA,NA
"86","ncbi","Auplopus carbonarius","Metazoa","Arthropoda","Insecta","Hymenoptera","Pompilidae","Auplopus","Auplopus carbonarius"
"87","itis","Basalys",NA,NA,NA,NA,NA,NA,NA
"88","ncbi","Basalys","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Basalys",NA
"89","itis","Belyta",NA,NA,NA,NA,NA,NA,NA
"90","ncbi","Belyta","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae","Belyta",NA
"91","itis","Belytinae",NA,NA,NA,NA,NA,NA,NA
"92","ncbi","Belytinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Diapriidae",NA,NA
"93","itis","Bethylidae","Animalia","Arthropoda","Insecta","Hymenoptera","Bethylidae",NA,NA
"94","ncbi","Bethylidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Bethylidae",NA,NA
"95","itis","Blennocampinae",NA,NA,NA,NA,NA,NA,NA
"96","ncbi","Blennocampinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae",NA,NA
"97","itis","Bombus pascuorum","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus pascuorum"
"98","ncbi","Bombus pascuorum","Metazoa","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","Bombus pascuorum"
"99","itis","Brachinus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Brachinus",NA
"100","ncbi","Brachinus","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Brachinus",NA
"101","itis","Braconidae","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"102","ncbi","Braconidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae",NA,NA
"103","itis","Bruchinae","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"104","ncbi","Bruchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae",NA,NA
"105","itis","Buprestidae","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae",NA,NA
"106","ncbi","Buprestidae","Metazoa","Arthropoda","Insecta","Coleoptera","Buprestidae",NA,NA
"107","itis","Calameuta",NA,NA,NA,NA,NA,NA,NA
"108","ncbi","Calameuta","Metazoa","Arthropoda","Insecta","Hymenoptera","Cephidae","Calameuta",NA
"109","itis","Carcharodina",NA,NA,NA,NA,NA,NA,NA
"110","ncbi","Carcharodina",NA,NA,NA,NA,NA,NA,NA
"111","itis","Carcharodus alceae",NA,NA,NA,NA,NA,NA,NA
"112","ncbi","Carcharodus alceae","Metazoa","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Carcharodus","Carcharodus alceae"
"113","itis","Carpocoris mediterraneus atlanticus",NA,NA,NA,NA,NA,NA,NA
"114","ncbi","Carpocoris mediterraneus atlanticus","Metazoa","Arthropoda","Insecta","Hemiptera","Pentatomidae","Carpocoris","Carpocoris mediterraneus"
"115","itis","Carpophilus","Animalia","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus",NA
"116","ncbi","Carpophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Nitidulidae","Carpophilus",NA
"117","itis","Cephus","Animalia","Arthropoda","Insecta","Hymenoptera","Cephidae","Cephus",NA
"118","ncbi","Cephus","Metazoa","Arthropoda","Insecta","Hymenoptera","Cephidae","Cephus",NA
"119","itis","Cephus pygmeus",NA,NA,NA,NA,NA,NA,NA
"120","ncbi","Cephus pygmeus","Metazoa","Arthropoda","Insecta","Hymenoptera","Cephidae","Cephus","Cephus pygmeus"
"121","itis","Ceraphronidae","Animalia","Arthropoda","Insecta","Hymenoptera","Ceraphronidae",NA,NA
"122","ncbi","Ceraphronidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Ceraphronidae",NA,NA
"123","itis","Ceraphronoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"124","ncbi","Ceraphronoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"125","itis","Ceutorhynchinae",NA,NA,NA,NA,NA,NA,NA
"126","ncbi","Ceutorhynchinae","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"127","itis","Ceutorhynchini",NA,NA,NA,NA,NA,NA,NA
"128","ncbi","Ceutorhynchini","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae",NA,NA
"129","itis","Ceutorhynchus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Ceutorhynchus",NA
"130","ncbi","Ceutorhynchus","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Ceutorhynchus",NA
"131","itis","Ceutorhynchus pallidactylus",NA,NA,NA,NA,NA,NA,NA
"132","ncbi","Ceutorhynchus pallidactylus","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Ceutorhynchus","Ceutorhynchus pallidactylus"
"133","itis","Chaetocnema","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chaetocnema",NA
"134","ncbi","Chaetocnema","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Chaetocnema",NA
"135","itis","Chalcidoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"136","ncbi","Chalcidoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"137","itis","Charipinae",NA,NA,NA,NA,NA,NA,NA
"138","ncbi","Charipinae","Metazoa","Arthropoda","Insecta","Hymenoptera","Figitidae",NA,NA
"139","itis","Chrysididae","Animalia","Arthropoda","Insecta","Hymenoptera","Chrysididae",NA,NA
"140","ncbi","Chrysididae","Metazoa","Arthropoda","Insecta","Hymenoptera","Chrysididae",NA,NA
"141","itis","Chrysotoxum","Animalia","Arthropoda","Insecta","Diptera","Syrphidae","Chrysotoxum",NA
"142","ncbi","Chrysotoxum","Metazoa","Arthropoda","Insecta","Diptera","Syrphidae","Chrysotoxum",NA
"143","itis","Chrysura",NA,NA,NA,NA,NA,NA,NA
"144","ncbi","Chrysura","Metazoa","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysura",NA
"145","itis","Chrysura refulgens",NA,NA,NA,NA,NA,NA,NA
"146","ncbi","Chrysura refulgens","Metazoa","Arthropoda","Insecta","Hymenoptera","Chrysididae","Chrysura","Chrysura refulgens"
"147","itis","Cicadellidae","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA
"148","ncbi","Cicadellidae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae",NA,NA
"149","itis","Cirrospilini",NA,NA,NA,NA,NA,NA,NA
"150","ncbi","Cirrospilini",NA,NA,NA,NA,NA,NA,NA
"151","itis","Cladius","Animalia","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Cladius",NA
"152","ncbi","Cladius","Metazoa","Arthropoda","Insecta","Hymenoptera","Tenthredinidae","Cladius",NA
"153","itis","Closterotomus",NA,NA,NA,NA,NA,NA,NA
"154","ncbi","Closterotomus","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Closterotomus",NA
"155","itis","Coccinella septempunctata","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata"
"156","ncbi","Coccinella septempunctata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Coccinella","Coccinella septempunctata"
"157","itis","Coccinellidae","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA
"158","ncbi","Coccinellidae","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae",NA,NA
"159","itis","Coleoptera","Animalia","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"160","ncbi","Coleoptera","Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"161","itis","Colletidae","Animalia","Arthropoda","Insecta","Hymenoptera","Colletidae",NA,NA
"162","ncbi","Colletidae","Metazoa","Arthropoda","Insecta","Hymenoptera","Colletidae",NA,NA
"163","itis","Conostigmus","Animalia","Arthropoda","Insecta","Hymenoptera","Megaspilidae","Conostigmus",NA
"164","ncbi","Conostigmus","Metazoa","Arthropoda","Insecta","Hymenoptera","Megaspilidae","Conostigmus",NA
"165","itis","Coranus","Animalia","Arthropoda","Insecta","Hemiptera","Reduviidae","Coranus",NA
"166","ncbi","Coranus","Metazoa","Arthropoda","Insecta","Hemiptera","Reduviidae","Coranus",NA
"167","itis","Cordicomus instabilis",NA,NA,NA,NA,NA,NA,NA
"168","ncbi","Cordicomus instabilis",NA,NA,NA,NA,NA,NA,NA
"169","itis","Corticariinae","Animalia","Arthropoda","Insecta","Coleoptera","Latridiidae",NA,NA
"170","ncbi","Corticariinae",NA,NA,NA,NA,NA,NA,NA
"171","itis","Cryptocephalus rugicollis",NA,NA,NA,NA,NA,NA,NA
"172","ncbi","Cryptocephalus rugicollis","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Cryptocephalus","Cryptocephalus rugicollis"
"173","itis","Cryptophagidae","Animalia","Arthropoda","Insecta","Coleoptera","Cryptophagidae",NA,NA
"174","ncbi","Cryptophagidae","Metazoa","Arthropoda","Insecta","Coleoptera","Cryptophagidae",NA,NA
"175","itis","Curculionoidea","Animalia","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"176","ncbi","Curculionoidea","Metazoa","Arthropoda","Insecta","Coleoptera",NA,NA,NA
"177","itis","Cynipoidea","Animalia","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"178","ncbi","Cynipoidea","Metazoa","Arthropoda","Insecta","Hymenoptera",NA,NA,NA
"179","itis","Cyrtogaster","Animalia","Chordata","Teleostei","Characiformes","Characidae","Bryconops","Bryconops cyrtogaster"
"180","ncbi","Cyrtogaster","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Cyrtogaster",NA
"181","itis","Cyrtogaster vulgaris",NA,NA,NA,NA,NA,NA,NA
"182","ncbi","Cyrtogaster vulgaris","Metazoa","Arthropoda","Insecta","Hymenoptera","Pteromalidae","Cyrtogaster","Cyrtogaster vulgaris"
