"","name"
"1","Abia nitens"
"2","Acanthoscelides"
"3","Acrididae"
"4","Aglaostigma aucupariae"
"5","Agriotes"
"6","Allograpta"
"7","Altica"
"8","Alticini"
"9","Alysiinae"
"10","Alysiini"
"11","Amara aenea"
"12","Ametastegia glabrata"
"13","Anacharitinae"
"14","Ancistrocerus"
"15","Andrena"
"16","Andrenidae"
"17","Anogcodes"
"18","Anthaxia"
"19","Anthaxia cyanescens"
"20","Anthaxia hungarica"
"21","Anthaxia manca"
"22","Anthaxia nigritula"
"23","Anthomalachius spinosus"
"24","Anthophila"
"25","Anthrenus"
"26","Aphanogmus"
"27","Aphelinus"
"28","Aphididae"
"29","Aphidiinae"
"30","Apion"
"31","Apis mellifera"
"32","Apocrita"
"33","Apoidea"
"34","Araneae"
"35","Araneidae"
"36","Araneomorphae"
"37","Arenocoris waltlii"
"38","Asaphes"
"39","Athalia"
"40","Athalia bicolor"
"41","Atomaria"
"42","Aulacobaris"
"43","Auplopus carbonarius"
"44","Basalys"
"45","Belyta"
"46","Belytinae"
"47","Bethylidae"
"48","Blennocampinae"
"49","Bombus pascuorum"
"50","Brachinus"
"51","Braconidae"
"52","Bruchinae"
"53","Buprestidae"
"54","Calameuta"
"55","Carcharodina"
"56","Carcharodus alceae"
"57","Carpocoris mediterraneus atlanticus"
"58","Carpophilus"
"59","Cephus"
"60","Cephus pygmeus"
"61","Ceraphronidae"
"62","Ceraphronoidea"
"63","Ceutorhynchinae"
"64","Ceutorhynchini"
"65","Ceutorhynchus"
"66","Ceutorhynchus pallidactylus"
"67","Chaetocnema"
"68","Chalcidoidea"
"69","Charipinae"
"70","Chrysididae"
"71","Chrysotoxum"
"72","Chrysura"
"73","Chrysura refulgens"
"74","Cicadellidae"
"75","Cirrospilini"
"76","Cladius"
"77","Closterotomus"
"78","Coccinella septempunctata"
"79","Coccinellidae"
"80","Coleoptera"
"81","Colletidae"
"82","Conostigmus"
"83","Coranus"
"84","Cordicomus instabilis"
"85","Corticariinae"
"86","Cryptocephalus rugicollis"
"87","Cryptophagidae"
"88","Curculionoidea"
"89","Cynipoidea"
"90","Cyrtogaster"
"91","Cyrtogaster vulgaris"
"92","Dacnusini"
"93","Dasytes terminalis"
"94","Dasytini"
"95","Delphacini"
"96","Deltocephalinae"
"97","Deraeocoris"
"98","Dermestes laniarius"
"99","Diapriinae"
"100","Diglyphus"
"101","Diglyphus isaea"
"102","Diplazon"
"103","Dipogon variegatus"
"104","Diptera"
"105","Dolerus gonager"
"106","Dolichosoma lineare"
"107","Elateridae"
"108","Encyrtidae"
"109","Endomia"
"110","Epimeces"
"111","Episyrphus balteatus"
"112","Eristalis"
"113","Eucera"
"114","Eucerini"
"115","Eucoilinae"
"116","Eulophinae"
"117","Eumeninae"
"118","Euophrys herbigrada"
"119","Eupelmidae"
"120","Eurytoma"
"121","Eurytomidae"
"122","Evagetes"
"123","Eysarcoris ventralis"
"124","Fenella"
"125","Fenusini"
"126","Figitidae"
"127","Gastrophysa polygoni"
"128","Gracillariidae"
"129","Grylloidea"
"130","Halictidae"
"131","Haltichellini"
"132","Halticini"
"133","Harmonia axyridis"
"134","Harpalus"
"135","Helicoverpa armigera"
"136","Heliophanus"
"137","Hemiptera"
"138","Hesperiidae"
"139","Heteroptera"
"140","Hippodamia variegata"
"141","Hister quadrimaculatus"
"142","Hister unicolor"
"143","Hylaeus"
"144","Hymenoptera"
"145","Ichneumonidae"
"146","Ichneumonoidea"
"147","Kleidotoma"
"148","Lasioglossum"
"149","Lepidoptera"
"150","Linyphiidae"
"151","Lixini"
"152","Lygaeosoma sardeum"
"153","Lygaeus equestris"
"154","Macrophya montana"
"155","Macrosaccus robiniella"
"156","Mecinus pyraster"
"157","Megachilinae"
"158","Megaspilinae"
"159","Melanophthalma"
"160","Meligethinae"
"161","Meraporus graminicola"
"162","Metaphycus"
"163","Microlestes"
"164","Mordellidae"
"165","Mymar"
"166","Mymaridae"
"167","Noctuoidea"
"168","Nomada"
"169","Nomada agrestis"
"170","Nurscia"
"171","Nysius"
"172","Ochetostethus"
"173","Olibrus"
"174","Onthophagus emarginatus"
"175","Ophion"
"176","Orius"
"177","Osmia"
"178","Oulema"
"179","Oulema melanopus"
"180","Oxybelus"
"181","Oxyopes"
"182","Oxythyrea funesta"
"183","Pachyneuron"
"184","Pantoclis"
"185","Parectopa robiniella"
"186","Parmulini"
"187","Paromius gracilis"
"188","Passaloecus"
"189","Peirates stridulus"
"190","Pellenes"
"191","Pemphredon"
"192","Pemphredonina"
"193","Pezotettix"
"194","Philodromidae"
"195","Philodromus"
"196","Phyllotreta"
"197","Pieris"
"198","Piezodorus lituratus"
"199","Pimplini"
"200","Platygastroidea"
"201","Platynaspis luteorubra"
"202","Pleurophorus"
"203","Polistes"
"204","Polistes dominula"
"205","Polynema"
"206","Praini"
"207","Proctotrupomorpha"
"208","Propylea quatuordecimpunctata"
"209","Protapion"
"210","Protapion fulvipes"
"211","Pseudomalus"
"212","Psilothrix viridicoerulea"
"213","Psocodea"
"214","Psyllobora vigintiduopunctata"
"215","Psylloidea"
"216","Pteromalidae"
"217","Pteromalini"
"218","Ptiliidae"
"219","Rhinocyllus conicus"
"220","Rhodanthidium septemdentatum"
"221","Rhyzobius"
"222","Runcinia grammica"
"223","Salticus"
"224","Saprinus"
"225","Scelionidae"
"226","Scelioninae"
"227","Scymninae"
"228","Scymnus"
"229","Scymnus frontalis"
"230","Scymnus interruptus"
"231","Scymnus rubromaculatus"
"232","Sitona"
"233","Spalangia"
"234","Spermophagus"
"235","Sphaerophoria scripta"
"236","Sphecodes"
"237","Staphylinidae"
"238","Stenodema"
"239","Stethorus"
"240","Symphyta"
"241","Synema globosum"
"242","Syrphidae"
"243","Syrphus"
"244","Teleasinae"
"245","Telenominae"
"246","Tenthredinidae"
"247","Tenthredo baetica"
"248","Tenthredo baetica dominiquei"
"249","Tenthredo bifasciata"
"250","Tenthredo meridiana"
"251","Tenthredopsis"
"252","Tetracampinae"
"253","Tetramesa"
"254","Tetrastichinae"
"255","Tettigoniidae"
"256","Tettigoniinae"
"257","Thysanoptera"
"258","Tingis cardui"
"259","Torymidae"
"260","Trachys troglodytiformis"
"261","Trechinae"
"262","Trichopria"
"263","Tropinota"
"264","Tryphonini"
"265","Trypoxylon"
"266","Tychius"
"267","Tytthaspis sedecimpunctata"
"268","Vespidae"
"269","Xenomerus"
